具体行业,性质ID,性质名称
印制电路板,D,中游制造
元件,D,中游制造
粘胶,A,重资产周期
分立器件,B,轻资产成长
磨具磨料,D,中游制造
通信网络设备及器件,B,轻资产成长
房地产综合服务,E,大金融/地产
通信线缆及配套,D,中游制造
玻纤制造,A,重资产周期
模拟芯片设计,B,轻资产成长
激光设备,B,轻资产成长
集成电路封测,B,轻资产成长
非金属材料Ⅲ,A,重资产周期
非金属材料Ⅱ,A,重资产周期
白银,A,重资产周期
磁性材料,D,中游制造
机床工具,D,中游制造
光学元件,B,轻资产成长
通信设备,B,轻资产成长
其他电子Ⅲ,B,轻资产成长
其他电子Ⅱ,B,轻资产成长
膜材料,B,轻资产成长
其他自动化设备,D,中游制造
电子,B,轻资产成长
被动元件,D,中游制造
食用菌,F,农业/公共服务
半导体,B,轻资产成长
半导体材料,B,轻资产成长
电机Ⅲ,D,中游制造
电机Ⅱ,D,中游制造
医疗研发外包,B,轻资产成长
金属新材料,A,重资产周期
自动化设备,D,中游制造
消费电子零部件及组装,D,中游制造
金属制品,D,中游制造
通用设备,D,中游制造
其他通用设备,D,中游制造
安防设备,B,轻资产成长
家电零部件Ⅲ,D,中游制造
家电零部件Ⅱ,D,中游制造
防水材料,A,重资产周期
电子化学品Ⅲ,B,轻资产成长
电子化学品Ⅱ,B,轻资产成长
消费电子,C,现金流消费
锂电池,D,中游制造
制冷空调设备,D,中游制造
燃料电池,B,轻资产成长
其他专用设备,D,中游制造
通信,B,轻资产成长
生活用纸,C,现金流消费
塑料,A,重资产周期
其他汽车零部件,D,中游制造
工控设备,D,中游制造
快递,F,农业/公共服务
蓄电池及其他电池,D,中游制造
车身附件及饰件,D,中游制造
汽车电子电气系统,D,中游制造
面板,A,重资产周期
合成树脂,A,重资产周期
机械设备,D,中游制造
印刷包装机械,D,中游制造
其他建材Ⅲ,A,重资产周期
光学光电子,B,轻资产成长
汽车零部件,D,中游制造
半导体设备,B,轻资产成长
其他金属新材料,A,重资产周期
机器人,B,轻资产成长
工程机械器件,D,中游制造
其他塑料制品,D,中游制造
其他生物制品,B,轻资产成长
金属包装,D,中游制造
底盘与发动机系统,D,中游制造
改性塑料,A,重资产周期
工程机械,D,中游制造
楼宇设备,D,中游制造
仪器仪表,D,中游制造
大宗用纸,A,重资产周期
工程机械整机,D,中游制造
锂电专用设备,D,中游制造
电池,D,中游制造
汽车,D,中游制造
园林工程,F,农业/公共服务
装修装饰Ⅲ,F,农业/公共服务
装修装饰Ⅱ,F,农业/公共服务
旅游综合,C,现金流消费
其他种植业,F,农业/公共服务
数字芯片设计,B,轻资产成长
其他电源设备Ⅲ,D,中游制造
体育Ⅲ,C,现金流消费
体育Ⅱ,C,现金流消费
个护用品,C,现金流消费
工程咨询服务Ⅲ,F,农业/公共服务
工程咨询服务Ⅱ,F,农业/公共服务
计算机设备,B,轻资产成长
胶黏剂及胶带,A,重资产周期
其他通信设备,B,轻资产成长
化妆品制造及其他,C,现金流消费
通信终端及配件,B,轻资产成长
军工电子Ⅲ,B,轻资产成长
军工电子Ⅱ,B,轻资产成长
其他专业工程,F,农业/公共服务
镍,A,重资产周期
