代码,行业
300936,电子
688655,电子
301176,电子
301282,电子
300964,电子
001389,电子
002636,电子
300903,电子
002384,电子
301251,电子
603186,电子
300852,电子
301628,电子
920060,电子
688519,电子
605258,电子
300476,电子
301041,电子
603228,电子
600183,电子
603936,电子
000823,电子
605058,电子
301132,电子
002815,电子
002579,电子
603920,电子
688183,电子
688020,电子
300657,电子
603386,电子
603328,电子
002938,电子
300814,电子
301366,电子
002463,电子
920821,电子
002436,电子
600601,电子
002916,电子
002134,电子
603175,电子
300739,电子
002913,电子
301566,被动元件
002138,被动元件
300319,被动元件
300408,被动元件
300975,被动元件
301458,被动元件
603989,被动元件
002484,被动元件
920491,被动元件
920981,被动元件
000636,被动元件
920128,被动元件
600237,被动元件
600563,被动元件
603738,被动元件
688539,被动元件
002199,被动元件
300460,被动元件
688205,通信
301577,通信
300394,通信
603421,通信
002281,通信
920045,通信
600498,通信
301165,通信
300570,通信
300620,通信
688668,通信
002796,通信
300548,通信
002194,通信
002396,通信
301314,通信
301419,通信
002902,通信
002897,通信
688313,通信
688618,通信
300710,通信
002296,通信
300308,通信
300565,通信
688182,通信
000063,通信
301205,通信
300698,通信
300502,通信
300134,通信
688387,通信
301307,通信
300098,通信
002792,通信
002583,通信
601869,通信
600487,通信
688143,通信
603042,通信
002491,通信
600522,通信
000586,通信
300913,通信
000070,通信
300563,通信
600105,通信
920640,通信
688048,半导体
688167,半导体
688498,半导体
688693,半导体
603290,半导体
688689,半导体
688711,半导体
605111,半导体
600360,半导体
600460,半导体
300623,半导体
300046,半导体
300373,半导体
688230,半导体
688261,半导体
300831,半导体
600745,半导体
688172,半导体
000949,基础化工
600889,基础化工
000677,基础化工
000420,基础化工
600684,房地产
301191,通信终端及配件
603803,通信终端及配件
603083,通信终端及配件
301202,其他通信设备
600345,其他通信设备
920374,其他通信设备
300615,通信终端及配件
603118,通信终端及配件
688159,通信终端及配件
003031,通信终端及配件
688592,通信终端及配件
300504,通信终端及配件
300183,其他通信设备
300555,通信终端及配件
300414,其他通信设备
300711,其他通信设备
300689,通信终端及配件
688283,其他通信设备
300213,其他通信设备
002313,通信终端及配件
300205,通信终端及配件
920249,通信终端及配件
688080,其他通信设备
300590,通信终端及配件
300638,通信终端及配件
300628,通信终端及配件
600776,其他通信设备
003040,通信终端及配件
688418,其他通信设备
600198,通信终端及配件
300353,其他通信设备
002881,通信终端及配件
300627,通信终端及配件
900941,其他通信设备
002017,通信终端及配件
200468,其他通信设备
603236,通信终端及配件
002104,通信终端及配件
600775,通信终端及配件
688027,通信终端及配件
688100,通信终端及配件
600355,通信终端及配件
600172,机械设备
002760,机械设备
300179,机械设备
688028,机械设备
920725,机械设备
002046,机械设备
300700,机械设备
300606,机械设备
300554,机械设备
002282,机械设备
920807,机械设备
300818,机械设备
300861,机械设备
600783,机械设备
300661,半导体
688512,半导体
688141,半导体
600171,半导体
688130,半导体
688536,半导体
688699,半导体
688045,半导体
688368,半导体
300782,半导体
688052,半导体
688286,半导体
688458,半导体
688061,半导体
688798,半导体
688515,半导体
688508,半导体
688653,半导体
688484,半导体
603375,半导体
688153,半导体
688381,半导体
688391,半导体
688220,半导体
688173,半导体
688209,半导体
300671,半导体
603068,半导体
688325,半导体
688270,半导体
603160,半导体
688582,半导体
688790,半导体
600877,半导体
688601,半导体
688372,半导体
688135,半导体
688362,半导体
301348,半导体
688216,半导体
920139,半导体
688403,半导体
002185,半导体
688352,半导体
600584,半导体
603005,半导体
002156,半导体
002077,半导体
000839,通信应用增值服务
002467,通信应用增值服务
300310,通信工程及服务
600289,通信工程及服务
301139,通信工程及服务
301428,通信应用增值服务
300921,通信应用增值服务
603881,通信应用增值服务
300560,通信工程及服务
300050,通信工程及服务
300292,通信应用增值服务
300597,通信工程及服务
300383,通信应用增值服务
301382,通信应用增值服务
300025,通信工程及服务
603206,通信工程及服务
002148,通信应用增值服务
300211,通信工程及服务
301380,通信应用增值服务
002115,通信工程及服务
603220,通信工程及服务
300959,通信应用增值服务
603322,通信工程及服务
300603,通信工程及服务
300738,通信应用增值服务
002544,通信工程及服务
300081,通信应用增值服务
300513,通信工程及服务
300571,通信应用增值服务
000889,通信工程及服务
603559,通信工程及服务
300442,通信应用增值服务
002123,通信应用增值服务
002929,通信工程及服务
600941,电信运营商
002316,通信工程及服务
600050,电信运营商
920924,通信工程及服务
601728,电信运营商
