序号,股票代码,股票简称,资产-货币资金,资产-应收账款,资产-存货,资产-总资产,资产-总资产同比,负债-应付账款,负债-预收账款,负债-总负债,负债-总负债同比,资产负债率,股东权益合计,公告日期
1,002726,龙大美食,2572043520.94,536611000.97,3228663798.45,10048677671.32,19.4029874027,363398603.84,,5505860999.24,8.5189203492,54.7918958029,4542816672.08,2026-01-31
2,300128,锦富技术,274568654.81,379791518.23,185619905.31,2235002945.23,-8.3027665988,232854859.43,,997153252.92,-15.8712365656,44.6152992795,1237849692.31,2025-07-03
3,002569,*ST步森,18964296.31,109630280.52,53503145.34,401953249.23,-24.3036036626,58678586.75,,143709275.98,-39.9985406666,35.7527339946,258243973.25,2024-09-07
4,300277,海联讯,22173203.08,24046426.82,188340043.67,730053646.09,-9.5551380722,24316546.83,,236508736.52,-25.4446195164,32.3960763413,493544909.57,2024-08-02
5,300398,飞凯材料,991093223.96,735570623.5,604896337.36,5858732191.43,30.380010853,303584440.55,,2683334128.89,46.5971771298,45.8005937328,3175398062.54,2024-05-14
6,300511,雪榕生物,312370296.71,26313546.94,412155930.78,4431397663.39,-1.0095812841,164191651.58,,2593819338.0,3.6057470126,58.5327595271,1837578325.39,2024-04-26
7,000903,ST云动,1176693768.85,2420594628.73,2404923602.01,14394126148.14,-1.8368552168,2859905649.39,,8648341812.83,-3.9973304163,60.0824372652,5745784335.31,2024-04-26
8,300816,艾可蓝,246180507.36,219909447.29,232377285.13,1630695131.73,54.8060966239,186704143.46,15929.19,817846396.67,154.8318857993,50.1532371537,812848735.06,2024-04-24
9,688579,地纬智能,403744330.12,123940660.77,64055201.25,1582698532.76,17.0190762077,211560553.16,,391499423.25,67.3164997582,24.7361967644,1191199109.51,2024-04-13
10,600735,ST新华锦,265271763.02,127280784.51,304114534.42,1469275369.79,6.5085576449,166140546.34,27500.0,398810024.44,18.6428015196,27.1433138158,1070465345.35,2023-11-01
11,603718,海利生物,11512191.96,104090509.7,124637845.63,1800201906.79,10.3980489488,39914208.4,,824419453.83,20.5942965211,45.7959438172,975782452.96,2023-10-28
12,603880,南卫股份,197239620.62,131615649.15,166452134.24,1260948593.24,15.3877719525,135800089.55,70771.85,587063837.43,33.2287546665,46.5573172909,673884755.81,2023-08-31
13,688619,罗普特,571000056.59,393279017.93,161812932.7,1840521042.59,85.2283364399,290236580.99,,485734003.59,2.8388340271,26.3911138395,1354787039.0,2023-08-17
14,688189,南新制药,320141775.85,852201278.72,96754571.9,2343515269.37,13.2595378368,37906234.06,,711999937.86,39.7429263419,30.381706796,1631515331.51,2023-06-28
15,300165,ST天瑞,380959342.76,294745272.42,1109680907.12,3314082791.2,44.3256247466,433114514.63,298283.25,1578546669.74,173.034018343,47.6314796339,1735536121.46,2023-06-27
16,605318,法狮龙,594722821.71,57807956.92,110633330.19,1223578284.06,21.0634791065,123884947.62,,371632989.01,89.8129316204,30.3726368677,851945295.05,2023-05-06
17,688565,力源科技,122331757.0,330153907.68,66113755.35,860985315.4,17.895311635,101910444.56,,235122300.82,-29.8750589253,27.3085146302,625863014.58,2023-05-04
18,002887,绿茵生态,1564663830.37,537890512.83,3706066.54,4444713992.67,29.9638391817,348923360.67,,2197910469.96,68.9854223304,49.449986514,2246803522.71,2023-04-28
19,300322,硕贝德,638142141.03,539543124.74,337970043.88,2789999507.97,33.0646386888,370217067.56,,1353079685.08,-1.3261629742,48.4974883047,1436919822.89,2023-04-27
20,688090,瑞松科技,432773347.62,242291317.31,213096299.52,1700761123.95,2.5697317447,97823174.94,,720973337.96,6.7407218006,42.3912169562,979787785.99,2023-04-26
21,601179,中国西电,3046992774.04,10056964183.56,4668192332.37,39892111818.28,8.386180284,5627667002.61,,18878862991.92,17.880435091,47.3248021512,21013248826.36,2023-02-28
22,301601,惠通科技,,,,755856700.0,,,,,,,,2023-02-24
23,600302,标准股份,385332476.78,575594643.29,456787976.52,2116909776.89,20.3051997444,157877213.38,1850150.9,864431674.66,43.9866648844,40.8346016489,1252478102.22,2023-02-14
24,301488,豪恩汽电,,,,738983400.0,,,,,,,,2022-12-30
25,300542,新晨科技,154331161.45,321842601.73,154057359.96,1039520416.97,-10.5404822496,126711290.76,72127.83,493926678.26,-4.0628274295,47.5148607181,545593738.71,2022-11-24
26,688106,金宏气体,596160047.61,288896412.78,88993024.32,4125607218.12,26.2901934336,352464043.59,,1335936698.36,191.2115341728,32.3815774922,2789670519.76,2022-10-29
27,688535,华海诚科,,,,434755400.0,,,,,,,,2022-10-24
28,002396,星网锐捷,1953958216.31,1876228122.08,3953538127.7,10892692869.75,28.9573042144,1836175503.55,,5344545788.28,44.7822063107,49.0654225928,5548147081.47,2022-09-24
29,002168,*ST惠程,85981131.62,84997650.32,42966732.08,1089290527.25,-64.9327019674,177800785.64,235500.0,813462720.76,-27.9380092804,74.678214894,275827806.49,2022-09-01
30,688667,菱电电控,71753667.44,177325439.02,164643836.27,1683297620.5,,120404595.79,,315657946.65,,18.7523550682,1367639673.85,2022-08-19
31,688293,奥浦迈,320564610.54,53717775.12,32475474.73,709272689.06,,17136828.79,,163106703.59,,22.9963321732,546165985.47,2022-08-16
32,603055,台华新材,355823246.04,884593584.9,1303391233.05,6507689231.94,27.0035193673,625882248.42,2092700.96,2918547395.96,21.042151942,44.8476762172,3589141835.98,2022-07-28
33,002036,联创电子,1507702454.08,2227009541.22,2167207012.22,12416958547.13,10.6085270163,1902558076.61,,8166412397.57,1.2002587053,65.7682182523,4250546149.56,2022-07-18
34,002808,*ST恒久,179656971.83,92657329.15,86305764.56,758163506.83,-4.8805819346,38437642.37,26458.75,174810297.32,-8.7309492193,23.0570709016,583353209.51,2022-07-14
35,000670,盈方微,18126307.98,652776566.41,170641884.08,1381636603.86,-52.5840472301,166871944.31,,1159250194.99,-58.3636837132,83.9041316473,222386408.87,2022-07-14
36,300757,罗博特科,216426754.51,336171183.71,556486480.46,2064453540.51,42.5301039919,262841455.39,,1337419781.28,86.7900867434,64.7832346447,727033759.23,2022-07-12
37,600136,ST明诚,83140054.39,788298131.69,1766823599.45,8465879931.73,-12.87586636,158497026.38,,6455162735.97,-1.6642712659,76.2491647416,2010717195.76,2022-07-09
38,002264,新华都,514485035.17,550595836.68,758694537.17,4203374803.71,40.1873165339,366183433.48,10579616.03,3088802122.73,54.8115336068,73.4838615867,1114572680.98,2022-06-30
39,601113,华鼎股份,617816666.06,919397494.1,1294459737.95,7083208687.72,-5.1118387071,622414623.33,,2429819789.96,-12.6096632735,34.3039418586,4653388897.76,2022-06-23
40,603869,ST智知,1553005716.12,1427448865.66,183601214.75,5075846011.7,-29.0418235502,218457129.56,,1092063166.81,-67.000128483,21.5148994728,3983782844.89,2022-06-20
41,301210,金杨精密,49010189.84,300143402.92,199270413.55,1233141983.6,,221692143.95,,644189441.71,,52.2396812595,588952541.89,2022-06-13
42,688002,睿创微纳,638839012.66,587555897.43,1045761030.02,4179902169.82,27.3941239804,322433370.65,,708990832.94,43.5314152751,16.9619001626,3470911336.88,2022-06-11
43,688316,青云科技,221136871.12,153471033.19,2420763.38,945636168.93,159.3936689789,127036484.56,,303852954.06,86.0241404744,32.1321205812,641783214.87,2022-06-07
44,300492,华图山鼎,33265624.75,120645049.88,,328880631.09,5.5652760812,18046561.23,,39779519.61,10.6927221322,12.0954278998,289101111.48,2022-06-02
45,002255,海陆重工,609092151.54,830716799.27,1312368804.64,5357971676.29,15.9480510196,491082224.54,,2459622601.18,22.2009623864,45.905852994,2898349075.11,2022-05-31
46,301632,广东建科,894686811.27,269359215.15,65104724.43,2340611320.95,,104658828.51,,535925995.77,,22.8968385726,1804685325.18,2022-05-30
47,688260,昀冢科技,51174026.76,120914186.73,87450512.81,851443737.31,46.2063659024,79674631.53,,377228549.1,5.9062253661,44.3045773396,474215188.21,2022-05-25
48,688213,思特威,804199226.67,278246714.35,734198915.4,3379514254.81,,241924035.88,,826810170.64,,24.4653553233,2552704084.17,2022-05-17
49,301391,卡莱特,108085621.65,139253757.78,212715245.69,717519209.57,,87854353.85,,286074567.3,,39.8699523977,431444642.27,2022-05-13
50,301428,世纪恒通,108804379.85,379546007.98,15883565.65,894465487.81,-3.8935221831,82158251.13,,399733997.95,,44.6897061315,494731489.86,2022-05-06
51,600287,苏豪时尚,774483328.89,376568164.87,394179676.72,4845003885.73,-14.0672338418,266274916.04,,2381452504.6,-20.7333425905,49.1527470517,2463551381.13,2022-04-30
52,600228,*ST返利,872093291.57,92242982.31,,1041253185.02,316.6398858816,95758519.3,,697710796.75,460.5641154075,67.0068343404,343542388.27,2022-04-30
53,002586,ST围海,248515646.22,1360335709.71,,7601588516.39,-7.602927714,1340916543.39,5867906.45,4174730499.46,-7.6352758296,54.9191855157,3426858016.93,2022-04-30
