序号,股票代码,股票简称,净现金流-净现金流,净现金流-同比增长,经营性现金流-现金流量净额,经营性现金流-净现金流占比,投资性现金流-现金流量净额,投资性现金流-净现金流占比,融资性现金流-现金流量净额,融资性现金流-净现金流占比,公告日期
1,300831,派瑞股份,44518162.24,-11.0984809117,25969197.78,58.3339393931,28550505.99,64.1322654697,-10003990.91,-22.471706842,2025-12-26
2,300581,晨曦航空,-85028756.32,-159.0183107136,-102500857.84,-120.5484618101,17881418.13,21.0298479055,-409316.61,-0.4813860954,2025-12-12
3,603402,陕西旅游,,,633708100.0,,,,,,2025-10-31
4,002160,常铝股份,-907080542.39,-656.3350353864,-193158816.13,-21.2945606375,-158594652.19,-17.4840760857,-558483854.19,-61.5693786925,2025-08-30
5,603398,*ST沐邦,-25396792.85,71.7365316087,232427020.96,915.1825678651,-519515847.79,-2045.5962721687,261683666.91,1030.3807589233,2025-08-28
6,603613,国联股份,1501767846.17,85.7075444101,502499309.74,33.4605186162,55363129.66,3.6865304981,943879589.93,62.8512317891,2025-07-26
7,300460,ST惠伦,-49451986.85,-53.4270866551,41255735.54,83.4258402299,-21949448.07,-44.3853714848,-70177841.86,-141.9110663296,2025-07-15
8,688573,信宇人,384993167.94,461.9173051802,-124336963.81,-32.2958883856,-16948119.86,-4.402187174,526278251.61,136.6980755596,2025-07-08
9,300551,古鳌科技,-252979613.68,-156.4779275612,-122154663.16,-48.2863663926,-159989746.6,-63.2421499396,27667443.69,10.9366297495,2025-06-30
10,688246,嘉和美康,-310585461.52,43.894007311,-226519885.58,-72.9331902631,-29373265.2,-9.4573857566,-54693186.32,-17.609705893,2025-05-01
11,600525,ST长园,141219340.39,150.5049255483,-314049664.77,-222.3843164135,-176191106.0,-124.7641473989,680490752.6,481.8679585393,2025-05-01
12,688189,南新制药,-211580285.94,-15.2779089231,88584510.48,41.8680360916,-8277653.84,-3.9122992027,-291887142.58,-137.9557368888,2025-04-30
13,603922,金鸿顺,-66500670.0,-858.3675845367,-22850709.28,-34.3616226423,-64301217.13,-96.692585398,20629393.25,31.0213314392,2025-04-30
14,603387,基蛋生物,-232643692.27,-223.466852433,146507664.68,62.975128726,-349098239.79,-150.0570406116,-38940372.59,-16.7382026179,2025-04-30
15,600592,龙溪股份,-373565773.06,-319.0941019841,12710097.59,3.4023720872,-289723112.97,-77.5561183234,-96556640.54,-25.8472931685,2025-04-30
16,600107,ST尔雅,-70904690.13,54.0340746845,-58016302.55,-81.8229406879,3464379.4,4.8859664906,-16366785.09,-23.0827961592,2025-04-30
17,002227,奥特迅,-37860066.06,52.1644970682,-1512902.73,-3.9960382732,-12796192.17,-33.7986525161,-23514521.87,-62.1090355012,2025-04-30
18,002193,如意集团,-29945151.77,-35.0793661142,-28941203.8,-96.6473772525,-1578734.0,-5.2720854852,-969876.53,-3.2388432607,2025-04-30
19,688333,铂力特,-133832162.58,-176.5896596167,-263173641.02,-196.6445404054,-191263040.34,-142.9126128225,320001002.19,239.1062028895,2025-04-29
20,301206,三元生物,-363462995.99,-241.4855623914,21942222.52,6.0369893943,-251828518.11,-69.2858752853,-135121770.0,-37.1762109185,2025-04-29
21,300959,线上线下,-16090422.93,90.0719486143,47844779.33,297.3494204481,-9700516.04,-60.2875143941,-54235769.16,-337.0686363929,2025-04-29
22,300775,三角防务,105486436.26,397.9091914217,-65775337.34,-62.3543079775,-277749691.51,-263.3037017436,449011465.11,425.6580097211,2025-04-29
23,300198,ST纳川,-36550352.17,-12.6719783846,25694365.66,70.2985447048,845489.47,2.3132183955,-63105072.04,-172.6524323117,2025-04-29
24,300169,天晟新材,113568398.85,635.0026441172,165962126.26,146.1340724537,-23081065.79,-20.3234931757,-29795199.24,-26.2354665045,2025-04-29
25,002816,*ST和科,-63031061.43,-207.6155763546,-43250898.89,-68.6183889479,-16832127.58,-26.7044964786,-2950864.0,-4.6816029003,2025-04-29
26,002570,贝因美,141815064.2,258.9459120572,297810653.72,209.9993081835,-1802553.54,-1.2710592843,-155321218.27,-109.5237795408,2025-04-29
27,000820,*ST节能,-7832731.68,62.9570115524,-7091079.46,-90.5313720641,-12202.32,-0.1557862633,-729449.9,-9.3128416726,2025-04-29
28,688108,赛诺医疗,-14054051.78,88.7256874572,36245821.18,257.9030001268,-94446037.39,-672.0199901669,44657593.34,317.7560040269,2025-04-26
29,688053,ST思科瑞,431407502.05,-62.586980419,25798914.55,5.9801729055,387188180.26,89.7499877541,18420407.24,4.2698393404,2025-04-26
30,002537,海联金汇,77017345.81,117.5578439629,502143943.22,651.9881176622,-878972699.37,-1141.2658929307,450932423.07,585.4946289404,2025-04-26
