序号,股票代码,股票简称,净利润,净利润同比,营业总收入,营业总收入同比,营业总支出-营业支出,营业总支出-销售费用,营业总支出-管理费用,营业总支出-财务费用,营业总支出-营业总支出,营业利润,利润总额,公告日期
1,600529,山东药玻,371141622.0,-21.89,2250208818.82,-9.7001197521,1499268271.78,45138736.06,128031063.82,-15167241.04,1777978175.35,444092441.69,441547642.49,2026-03-07
2,688781,视涯科技,-123081081.9,,150495691.79,,119837963.63,4822662.16,41287191.18,-4613066.6,283876837.87,-123132931.82,-123081081.9,2026-03-06
3,301682,宏明电子,256767800.96,,1528019279.74,,755045373.2,66371128.45,128765926.17,-1991077.56,1057775809.49,422146966.15,422138638.07,2026-03-05
4,688511,*ST天微,27771827.84,1899.85,84008863.73,87.3726475615,36521736.57,2230564.77,8681456.94,-765225.64,58498326.16,29762351.82,29792275.48,2026-02-28
5,688316,青云科技,-41562699.03,-10.425242947941,100112205.24,-30.5554702126,74302795.03,22579850.25,14941217.06,5998783.54,144713972.15,-41257864.41,-41403305.22,2026-02-28
6,301152,天力锂能,-59204485.58,27.3,966296346.06,1.3025844632,916470906.68,3445638.64,38111535.74,13309278.79,1010670931.83,-62140940.43,-62030259.76,2026-02-13
7,688816,易思维,-5099137.41,44.11046724977,125253210.29,13.0069826059,48569045.51,9550094.47,21159512.14,-1159873.24,140963644.16,-6768792.78,-6618991.55,2026-02-06
8,301680,固德电材,81160495.67,,457616113.71,,307932586.3,13512052.19,31836025.98,-4166666.91,371907912.18,88521668.58,88322202.76,2026-02-06
9,688818,电科蓝天,65281941.75,,1113408411.67,,837915471.17,27476766.9,69181483.18,-3745860.31,1020880136.66,65299883.99,64122387.95,2026-02-05
10,603284,林平发展,91418993.5,,1223794497.63,,1097496723.36,4366578.8,19943717.38,6585822.47,1182486389.41,91827169.02,91418993.5,2026-02-05
11,002726,龙大美食,37487190.02,-39.52,4974609506.33,-1.3782849988,4699703193.12,49716998.4,115974605.11,61816284.48,4943167728.17,34560410.59,34461831.03,2026-01-31
12,300448,浩云科技,-15523446.93,-349.61,130236488.93,-16.1497417133,85943215.73,18025415.74,29088600.33,-5702077.43,146986690.7,-22418113.26,-22293822.55,2026-01-30
13,600615,鑫源智造,9082203.24,256.76,328752539.72,388.3327134403,286689197.87,9483158.06,17048126.77,-1498687.98,324689048.85,11577467.67,11731578.9,2026-01-28
14,001331,胜通能源,30365325.77,48.47,2713029402.43,13.2559800238,2691460764.19,7413250.15,13377100.32,-12252400.4,2702730049.14,25646880.44,39833367.45,2026-01-24
15,001266,宏英智能,15330751.02,448.79,329761065.99,-6.6144888891,234860332.59,17795508.85,29133934.26,2646423.19,311129564.01,16333911.68,16275496.88,2026-01-24
16,601112,振石股份,404043554.36,,3275001682.83,,2422477416.7,19486058.26,123202513.42,57420531.42,2754965402.97,477115644.64,475574018.33,2026-01-23
17,688785,恒运昌,69347614.82,,304056343.03,,155043094.55,4611598.53,27090882.29,-2170929.51,229573333.71,74736708.23,74180421.04,2026-01-22
18,301487,盟固利,3801937.91,-60.87,1017906945.57,23.1936586755,958599974.33,5846652.1,23460322.91,7093566.07,1046117669.38,-5083759.19,-5132286.56,2026-01-21
19,688712,北芯生命,49449625.3,235.30864093822,258861567.82,78.2575869333,80112388.97,59519047.48,34988541.76,-922676.87,215771552.04,53340844.27,53311065.34,2026-01-16
20,001220,世盟股份,66161405.48,,445338002.59,,343626109.9,3412033.92,15773530.71,101767.17,365170108.69,82450804.32,81594318.17,2026-01-15
21,603352,至信股份,94480611.97,,1604147534.88,,1270763681.02,17920090.8,84377926.7,23172426.85,1466544394.04,110992070.01,110665707.66,2026-01-12
22,301379,天山电子,74218295.54,14.37,855757278.3,29.662727708,679474494.07,32427205.81,24204225.99,-5011616.75,772079742.18,80707376.71,80739934.14,2026-01-12
23,688073,毕得医药,73406059.54,41.6,627526589.12,17.9101784851,349840486.76,68419157.93,66590352.85,4178143.31,522427598.32,100639047.56,100843826.91,2026-01-06
24,301687,新广益,59205831.88,16.948636319641,313392138.14,10.2383685367,214965468.21,7676659.05,11718878.01,-261258.61,250362222.3,67806150.98,67802418.46,2025-12-26
25,300831,派瑞股份,15575368.79,-66.7,61805934.81,-48.9001423359,28266092.74,1963094.45,12554773.34,-2412728.84,44806306.19,17105223.53,17107891.12,2025-12-26
26,688270,臻镭科技,65107263.45,1006.99,204867001.88,73.6367742605,31663173.29,7320084.28,19391750.59,-2845247.79,124161454.69,65182265.9,65107263.45,2025-12-25
27,001396,誉帆科技,33047857.6,,311457493.62,,178482236.96,25947902.2,35999630.79,3614736.33,260629343.79,37466054.1,37089101.03,2025-12-25
28,001369,双欣材料,281388913.41,,1796983771.18,,1386800298.48,16243719.16,44419788.65,-6228444.67,1513197802.96,309780910.02,320744954.05,2025-12-25
29,688805,健信超导,31918447.38,,252098107.52,,185544703.42,2815433.6,12115643.12,-320180.35,219194245.67,36285816.44,35433851.61,2025-12-19
30,603402,陕西旅游,204393212.24,-28.374834043268,516455756.09,-18.9909621052,156189406.69,34152624.21,27462772.25,2697428.05,223768434.71,295324149.22,291881491.92,2025-12-18
31,603248,锡华科技,94955002.69,52.986136540091,580439277.64,36.6712156065,418765603.81,4034371.87,15905608.02,-1400621.28,465526225.37,111302946.51,111292890.58,2025-12-18
32,301449,天溯计量,55576229.4,9.832696249474,409136087.98,11.9941692205,198193665.54,101191214.69,20285034.18,-165034.71,338485288.41,63161067.3,62867264.62,2025-12-18
33,688809,强一股份,137884336.88,237.558836131998,374402116.39,89.534831258,116104332.78,6187293.25,24133899.61,901262.77,216078698.23,157060206.52,156938502.34,2025-12-11
34,688790,昂瑞微,-40299465.07,,843591256.8,,652799914.69,32654211.55,53702801.85,1900407.73,879904877.74,-43356876.16,-40299465.07,2025-12-11
35,001325,元创股份,74155306.95,-2.746818466451,651677418.48,6.7427951986,530996599.18,12039535.6,19564791.79,-22546779.98,552293953.99,97223279.6,96815000.58,2025-12-05
36,688807,优迅股份,46958808.57,,238498675.39,,134768517.65,5798715.81,18699721.82,-3697863.39,194236009.93,48943203.15,48725276.5,2025-11-28
37,600193,*ST创兴,-9431790.92,-614.287222864689,373987.56,-97.5278105903,532752.07,1470999.31,9866351.98,2263760.81,14780330.77,-9170369.2,-9121735.25,2025-11-27
38,688796,百奥赛图,47999099.31,194.722476309069,620963245.36,51.2704535629,159014453.15,58514785.44,102602442.5,33240342.93,567446037.57,60027637.46,59619597.09,2025-11-20
39,688795,摩尔线程,-270942340.8,,701761937.72,,216539568.24,71534095.98,152594407.6,18759234.19,1017425832.4,-271078324.14,-270936593.68,2025-11-14
40,688727,恒坤新材,41600402.35,-5.677367201715,294337252.67,23.7413400185,171759029.92,15296455.39,42414213.93,-4257230.9,269689089.16,44916106.65,44509773.81,2025-11-13
41,301638,南网数字,13029431.26,,1557704001.54,,1040928556.97,76541149.39,251690542.6,-1918096.97,1518864341.25,46326464.31,39799069.62,2025-11-13
42,001280,中国铀业,764993460.22,7.880594636058,9551333536.99,18.7379074447,7715200106.99,16239987.23,288947798.69,102855796.25,8220240788.29,1187318073.17,1177415661.28,2025-11-13
43,001233,海安集团,340829989.76,13.840145383351,1079510975.43,0.8324110835,586703247.46,47818729.85,74711379.06,-51488429.89,705759970.59,394904666.05,394699579.89,2025-11-06
44,603983,丸美生物,174410644.57,5.21,1764646729.2,30.4931343298,448184341.2,999196374.25,60753973.5,-10678914.35,1550885924.71,229120922.85,228852497.48,2025-10-31
45,603334,丰倍生物,85063308.58,23.514476855368,1478129194.9,49.6241346018,1337752954.4,9011097.94,15129104.23,1340183.6,1403179057.94,93634888.52,93573300.75,2025-10-31
