报告期,序号,股票简称,资产-货币资金,资产-应收账款,资产-存货,资产-总资产,资产-总资产同比,负债-应付账款,负债-预收账款,负债-总负债,负债-总负债同比,资产负债率,股东权益合计,公告日期,净利润,净利润同比,营业总收入,营业总收入同比,营业总支出-营业支出,营业总支出-销售费用,营业总支出-管理费用,营业总支出-财务费用,营业总支出-营业总支出,营业利润,利润总额,净现金流-净现金流,净现金流-同比增长,经营性现金流-现金流量净额,经营性现金流-净现金流占比,投资性现金流-现金流量净额,投资性现金流-净现金流占比,融资性现金流-现金流量净额,融资性现金流-净现金流占比
20140331,568,华润双鹤,1309273929.71,765804478.92,580398633.84,6394979426.94,-8.8404939493,428112259.25,92810325.46,908278295.79,-57.7098542535,14.2029901138,5486701131.15,2014-04-29,150184450.03,-7.235875119109,1044178278.86,-44.1139207942,546786880.04,188540636.31,105091702.52,1801006.78,863370501.36,180807777.5,189255644.47,-100743866.75,-229.5275221165,104047878.22,103.2796155008,7138850.75,7.0861393158,-211930595.72,-210.3657548165
20140630,908,华润双鹤,1497224168.91,784350401.85,584914272.22,6526307237.02,-9.5446981814,456036660.39,58174291.83,1069389546.02,-54.5837059831,16.3858290329,5456917691.0,2014-08-26,315318516.98,-7.480453397467,2161328035.76,-43.3023212095,1120377813.36,419570754.87,216288318.9,-6115006.03,1786348912.67,374999723.09,386639407.05,87206372.45,-62.0003630175,146767884.67,168.2994952624,152362238.33,174.7145696461,-211930595.72,-243.0219143005
20140930,1298,华润双鹤,1096299110.82,831646082.68,636875609.28,6450298423.34,-11.4918333345,460512260.73,66542169.07,878712730.79,-60.8122771694,13.6228229009,5571585692.55,2014-10-28,429621473.45,-18.03044476003,3216470687.11,-44.3002921915,1653701640.6,666417320.16,344254657.56,-10587649.47,2705464481.2,511814649.83,525223060.99,-313718685.64,-356.6719566126,351514628.42,112.0477180704,-255484257.47,-81.4373734063,-409749048.03,-130.6103419355
20141231,3699,华润双鹤,1372859929.05,805931117.81,744944847.63,7405356981.7,2.1351984347,549331029.05,82268390.34,1226478095.99,-18.3249946458,16.5620387919,6178878885.71,2016-03-11,736623970.97,-37.761118216703,5153228922.96,-37.3631663076,2514016662.98,1156812793.77,590706659.95,-14196629.55,4318957393.4,839135299.51,880773423.52,-53598655.53,-110.0374082719,928907795.35,1733.0804031644,-379623547.01,-708.2706520456,-602884088.22,-1124.8119607824
20150331,1189,华润双鹤,1166832685.23,807005049.55,696319680.07,6726340108.81,5.1815754164,380499070.85,69997397.05,872024766.96,-3.9914560326,12.9643275965,5854315341.85,2015-04-28,198204159.88,10.144996953384,1304057540.46,3.2677403065,585282400.58,292397033.45,159680503.91,-3724523.64,1061118941.27,245515311.52,255443311.47,-191154871.23,-89.7434329222,51059903.23,26.7112749476,-232367853.15,-121.559995649,-9927035.12,-5.193189719
20150630,965,华润双鹤,1317418088.59,860913951.8,657624994.36,6823861862.49,4.5593107199,338587705.25,90748216.54,806111449.81,-24.6194753998,11.8131267317,6017750412.68,2015-08-27,410622415.86,5.22923432722,2570530389.19,-2.5209668597,1200037515.59,570243784.13,283540157.17,-8768395.28,2091126469.3,492547755.51,506317898.18,-46837636.19,-153.7089605658,234043680.36,499.6914861599,-246667266.09,-526.643285518,-34284296.16,-73.1981776811
20150930,741,华润双鹤,1402071995.99,807957037.17,653681922.69,6866927506.0,6.4590667798,340762439.02,81618029.18,750541085.08,-14.5862966609,10.9297947943,6116386420.92,2015-10-30,557970228.19,0.038642358508,3796451375.54,-4.0025565197,1814562681.41,861299514.75,432965241.65,-14439168.91,3159559902.15,656166974.77,679003314.38,173150592.84,155.1929485765,447737195.68,258.5825369329,-298501136.15,-172.3939440541,23779526.67,13.7334364728
20151231,3741,华润双鹤,778238121.69,896584013.85,808677698.14,7763107207.0,4.8309652888,397375092.35,120389357.03,1329198568.88,8.3752390871,17.1219916644,6433908638.12,2017-03-10,661063516.94,-10.257669721296,5138395401.62,-0.2878490663,2473122803.22,1225622042.89,622820217.0,-20636722.07,4397783169.46,764330199.29,806762340.19,-592533371.47,-1005.5004376711,701346759.73,118.3640944965,-710134532.51,-119.8471793662,-583893348.09,-98.5418503335
20160331,1200,华润双鹤,918797006.65,1043849603.34,709001852.49,7851641191.28,16.7297678123,366742009.49,109965647.38,1232942659.1,41.3884909942,15.7029929038,6618698532.18,2016-04-28,182395771.27,-7.975810709306,1439314333.15,10.3719957512,729297769.05,318785502.65,152261304.49,-79596.14,1232785210.3,209351862.58,226720889.45,140006745.3,173.2425725796,162761837.9,116.2528544973,-2141761.93,-1.5297562453,-20606667.12,-14.7183388028
20160630,2851,华润双鹤,1191911585.16,1160605337.08,693560695.14,8088512328.37,18.5327676815,392555586.33,83928291.82,1344587896.03,66.7992554065,16.623426428,6743924432.34,2016-08-15,433522573.5,5.576938022742,2845909543.25,10.7129312775,1369344116.13,613169564.35,304620781.96,-2840322.06,2346460310.53,505694884.2,535267486.52,413159755.98,982.1106050356,307714924.06,74.4784359092,146096954.36,35.3608869803,-40663218.76,-9.8420086108
20160930,285,华润双鹤,1132698281.83,1043563556.2,741027321.25,8080396525.99,17.6712076679,391703865.35,80599306.89,1161676812.48,54.7785771589,14.3764827474,6918719713.51,2016-10-31,601515501.76,7.804228858457,4148243934.92,9.2663523006,1963964256.61,911270728.18,481648699.85,-5500626.35,3436088103.73,720136246.75,752072364.22,354705649.76,104.8538465518,574546431.48,161.9783704795,6998680.69,1.9730953524,-226851462.42,-63.9548489215
20161231,4038,华润双鹤,1486925480.95,894078016.15,762767294.54,8241549950.56,6.1630315131,395672568.76,106507481.42,1203050902.07,-9.4905057652,14.5973865266,7038499048.49,2018-03-15,714210861.1,8.039672860184,5494803869.14,6.936182206,2576495263.53,1317715536.24,649816569.71,-7260229.29,4662840284.36,847322856.26,906793558.92,709905576.37,219.808539156,771247822.97,108.6409022047,163298575.88,23.0028585935,-224690285.5,-31.6507283474
20170331,1482,华润双鹤,1666109029.43,1034608776.49,801219223.35,9529960416.5,21.3753938105,427593614.08,107980945.02,2246832028.31,82.2332946084,23.5765095563,7283128388.19,2017-04-27,234840936.17,28.753498249894,1528053474.35,6.1653760514,688166350.57,346854689.62,162065207.03,-2472378.06,1231354243.39,302666715.21,302011877.17,177554470.49,26.8185115721,302443561.76,170.3384662326,-74888100.85,-42.1775360786,-50000000.0,-28.1603723421
20170630,2924,华润双鹤,1174692930.01,1087984616.35,898233432.23,9106357281.0,12.5838338536,545344462.53,88123648.32,1596694047.61,18.7496966412,17.5338392547,7509663233.39,2017-08-18,520808068.32,20.134013810471,3075891415.37,8.0811378094,1353823200.95,733627488.5,237812608.99,-3064480.24,2445452181.53,653253280.04,650591219.88,-315008619.08,-176.2437808912,643024196.5,204.1290801433,-754990357.44,-239.6729205839,-203010081.72,-64.445881612
20170930,2638,华润双鹤,1044314035.38,1186263786.88,944741699.93,9289040232.47,14.9577276634,550864484.24,100888751.91,1564813676.34,34.7030137409,16.8458057795,7724226556.13,2017-10-25,724875358.47,20.508175824074,4756038013.06,14.6518403372,2043642135.03,1265811818.46,395873477.89,-6709069.44,3885086043.34,911003803.82,905495694.83,-443338965.22,-224.9878499313,874062159.16,197.1543734547,-1023904547.77,-230.9529791188,-293451000.7,-66.191114186
20171231,4484,华润双鹤,1248135127.64,955786924.27,974239557.34,9437896362.6,14.5160366584,468920648.84,156718554.58,1589332884.59,32.108531888,16.8399060927,7848563478.01,2019-03-15,842612497.04,17.978113038248,6421846768.78,16.8712645932,2733742265.5,1877837064.63,520894328.14,-9596256.62,5422348159.19,1060357707.32,1053918399.73,-238870882.81,-133.6482612281,1187087990.93,496.958012197,-1132453982.42,-474.0862381795,-293451000.71,-122.8492134571
20180331,2727,华润双鹤,1548031799.46,1228638444.89,832231262.04,9955512400.32,4.4654118718,447737164.95,145302049.15,1794039868.54,-20.1524704146,18.0205678663,8161472531.78,2018-04-24,300445052.68,27.93555398813,2137803242.25,39.9036930405,761818117.82,798797181.28,140667940.5,-2352549.19,1777119777.23,370349423.44,370296330.47,299977201.31,68.9493936605,385908480.59,128.6459367261,-85928436.88,-28.6449891874,,
20180630,2303,华润双鹤,1610657958.79,1252933630.46,918976562.38,9825786748.29,7.9002991546,520389009.27,,2336985016.66,46.3639837675,23.7842024921,7488801731.63,2018-08-23,583215959.82,11.982896444234,4087680832.87,32.8941851602,1443754841.2,1552930009.93,274621563.37,-7087938.19,3386904589.12,716526512.9,716727225.96,362603360.65,215.1090283526,862429237.76,237.843696819,14155117.07,3.903746795,-513990331.09,-141.7500185792
20180930,1522,华润双鹤,1109853767.55,1393108937.91,953683353.21,10257421261.44,10.4249847641,,,2468032679.57,57.7205463428,24.0609468663,7789388581.87,2018-10-29,843955999.99,16.42774031819,6309508690.72,32.6631257655,2227806656.91,2499003483.84,406109734.12,-6610530.9,5314856610.52,1021495396.72,1023055938.41,-138448548.09,68.7714009029,1275861414.59,921.5419245571,-639836803.67,-462.1477166045,-774514688.29,-559.4242041358
20181231,4785,华润双鹤,1097016407.2,1066049244.53,973614726.24,10306170915.73,9.199873783,534922065.59,,2397574946.61,50.8541709453,23.2634890903,7908595969.12,2020-03-21,968593387.56,14.951225024855,8225083313.34,28.079719269,3014426110.99,3193754077.0,592488850.57,-3572696.44,7088956080.17,1189312248.96,1184109186.26,-157548261.84,34.0445934696,1469039631.21,932.4378536793,-823489545.27,-522.6903398695,-803141920.21,-509.7751703701
20190331,1635,华润双鹤,1298787563.08,1467591868.2,858818397.29,10950122928.37,9.9905508431,,,2708574172.74,50.9762531055,24.7355595043,8241548755.63,2019-04-27,329143727.84,9.552054495158,2632966213.66,23.1622331571,947006726.62,1031371768.62,178267229.19,1877350.03,2233599053.92,402389276.36,400856218.86,202018873.39,-32.6552576303,458141710.46,226.7816381569,-255036584.61,-126.2439396529,-1026038.33,-0.5078923136
20190630,2902,华润双鹤,1761615299.59,1353586349.11,998236968.92,10969087959.38,11.635721804,599065218.82,,2708192403.68,15.8840293957,24.6893124908,8260895555.7,2019-08-22,638434732.48,9.467980381923,4865561997.67,19.0298899695,1733053975.04,1864548830.51,361370112.99,2431035.53,4118180566.96,761566632.68,760020409.49,668308963.29,84.308540906,821485650.89,122.9200408814,55727429.04,8.3385727412,-208860315.5,-31.2520595971
20190930,1229,华润双鹤,1723768680.6,1428123194.29,959520482.67,11218418141.47,9.36879607,597306416.65,,2673359071.69,8.3194357117,23.8300893939,8545059069.78,2019-10-30,918583238.14,8.842550814365,7406741940.89,17.3901535596,2637401203.54,2938974988.91,525590809.09,-3416111.72,6328088676.8,1096242764.49,1096151163.67,628396978.82,553.8848456623,1236426864.15,196.7588810614,-87796954.63,-13.9715749103,-520217507.18,-82.7848517281
20191231,4935,华润双鹤,1843914798.73,1189470761.24,1146032588.0,11276864761.85,9.4185692636,683870675.87,,2600305909.77,8.4556674004,23.0587664629,8676558852.08,2021-03-19,1055123708.98,8.93,9380989927.55,14.0534335055,3430643138.7,3730256199.64,630998553.72,-9873968.14,8120903884.92,1262485573.21,1261796726.82,-154397245.53,2.0000324175,1439788470.89,932.5221223654,-1069300166.4,-692.5642764736,-524859189.29,-339.9407725755
20200331,3212,华润双鹤,2369511586.46,1390189429.41,1072920875.06,11560742002.92,5.5763673024,577246024.02,,2607973322.88,-3.7141626348,22.5588748734,8952768680.04,2020-04-25,274976722.7,-16.46,2182125834.68,-17.1229078687,800283362.27,834814855.65,145936343.31,-9430316.64,1844864490.69,341365799.17,334395525.46,521644308.84,158.2156310876,365208078.15,70.0109388641,165124904.0,31.6546929012,-8686390.41,-1.6651941299
