报告期,序号,股票简称,净利润,净利润同比,营业总收入,营业总收入同比,营业总支出-营业支出,营业总支出-销售费用,营业总支出-管理费用,营业总支出-财务费用,营业总支出-营业总支出,营业利润,利润总额,公告日期,净现金流-净现金流,净现金流-同比增长,经营性现金流-现金流量净额,经营性现金流-净现金流占比,投资性现金流-现金流量净额,投资性现金流-净现金流占比,融资性现金流-现金流量净额,融资性现金流-净现金流占比,资产-货币资金,资产-应收账款,资产-存货,资产-总资产,资产-总资产同比,负债-应付账款,负债-预收账款,负债-总负债,负债-总负债同比,资产负债率,股东权益合计
20140331,905,晨光股份,86885839.63,,756713744.87,,562860154.39,47993238.91,51617052.24,-682901.12,666997407.8,89755178.71,104773242.93,2015-04-28,97213441.55,,186207361.16,191.5448709469,-64229711.22,-66.0708130439,-24750000.0,-25.459442239,,,,,,,,,,,
20140630,1843,晨光股份,180686124.5,,1491808470.79,,1110457034.8,81265686.27,100414178.88,-1307765.88,1298280273.76,193573690.76,213894376.21,2015-08-19,13205639.91,,183093141.37,1386.4768585076,-147320603.42,-1115.5885244792,-23745000.0,-179.809537151,,,,,,,,,,,
20140930,76,晨光股份,273197200.47,,2344931831.9,,1743170957.78,144090612.65,149499051.0,-1822258.43,2045576546.85,299400778.78,322292719.16,2015-01-06,56979982.6,,290481582.64,509.7958430054,-223694995.76,-392.5852300278,-8763801.78,-15.3804922011,170691128.1,75507382.84,460871980.54,1626198093.62,,239963559.87,11396868.21,413220996.71,,25.410249731,1212977096.91
20141231,3462,晨光股份,339570007.09,21.126747083752,3043280040.84,28.960417174,2262526987.55,207040858.54,201663282.82,-2311234.83,2680606282.65,363553039.88,399246955.73,2016-03-22,86731853.95,331.7488801577,342513938.26,394.9113533967,-246124804.68,-283.7767134805,-8778612.97,-10.1215557724,200442999.45,54629090.26,555725783.87,1751641004.5,34.9729949285,273767404.92,29936838.07,475115182.86,29.9416727286,27.1240043844,1276525821.64
20150331,1024,晨光股份,109413823.17,25.928256705505,942536325.69,24.5565224736,695289265.97,59842139.58,58152625.09,-2112059.88,814620515.31,128073961.07,128090561.86,2015-04-28,890374443.11,815.8964325443,181373351.32,20.3704579263,-33507115.75,-3.7632611773,742508207.54,83.392803251,1090817442.56,101275550.31,437647886.18,2585057750.44,,256288997.08,28003617.44,461366466.91,,17.8474336533,2123691283.53
20150630,2082,晨光股份,207430388.58,14.801504074542,1847570318.78,23.8476892279,1364642502.66,119330243.8,119662545.2,-4817311.69,1608916839.78,239376314.72,241486616.09,2015-08-19,26662414.91,101.9017260179,261750657.61,981.7214925713,-747596450.24,-2803.9337500506,512508207.54,1922.2122574793,227105414.36,104747595.27,583229143.34,2551143138.76,,361989049.67,28482945.84,563319358.67,,22.0810565315,1987823780.09
20150930,2136,晨光股份,325349493.41,19.089614699667,2871743358.67,22.4659633855,2127801844.65,190375553.41,187606191.84,-7394741.42,2511496010.01,364437327.78,379761952.97,2015-10-24,157407081.17,176.2497880615,293465930.0,186.4375654632,-669853525.56,-425.5548864645,532508207.54,338.3000329984,357850080.62,143524696.22,556215586.51,2589521995.44,59.2377955428,243997824.91,31830519.38,468555432.45,13.3910029211,18.0942827779,2120966562.99
20151231,3438,晨光股份,422646726.85,24.465270202142,3749112471.64,23.1931475687,2753763817.05,281919682.53,259581275.22,-8351190.72,3304355184.4,459373372.74,489803928.03,2017-03-21,313527167.47,261.490217482,497265602.36,158.6036726491,-733844943.19,-234.0610381906,547847923.54,174.7369862589,513970166.92,98110943.74,649660696.11,2902140346.04,65.6812291208,386648753.52,76902312.74,669701340.51,40.9555755467,23.0761183353,2232439005.53
20160331,2541,晨光股份,145893137.82,33.340681819811,1133433054.53,20.2535142293,826358585.17,81454068.53,65595827.99,-1587998.02,976862171.53,161424047.4,170902679.02,2016-04-20,290888135.82,-67.3296849353,143770305.05,49.4246025692,146733761.42,50.443364081,,,804858302.74,157779649.78,561174083.65,2983774980.88,15.4239196541,373498425.54,32142161.31,609347038.2,32.0744098029,20.4220171462,2374427942.68
20160630,2874,晨光股份,250594259.9,20.808846580043,2179551131.29,17.9685075656,1581355144.66,175769053.15,144713744.22,-3344274.58,1912226813.31,279935287.17,291677638.36,2016-08-13,-249602166.07,-1036.157384515,215922444.47,86.5066388925,-268346253.78,-107.5095853554,-198000000.0,-79.3262346708,264368000.85,200529681.65,643657426.37,2986897443.69,17.0807469918,447885301.14,45396520.47,710993070.01,26.2149186012,23.8037322477,2275904373.68
