代码,名称,行业,性质ID
000012,南  玻Ａ,玻璃制造,A
000026,飞亚达,钟表珠宝,C
000027,深圳能源,公用事业,F
000039,中集集团,机械设备,D
000059,华锦股份,石油石化,A
000060,中金岭南,工业金属,A
000089,深圳机场,交通运输,F
000099,中信海直,交通运输,F
000155,川能动力,公用事业,F
000401,金隅冀东,水泥制造,A
000407,胜利股份,燃气Ⅱ,F
000420,吉林化纤,基础化工,A
000423,东阿阿胶,中药Ⅱ,C
000426,兴业银锡,贵金属,A
000429,粤高速Ａ,高速公路,F
000518,*ST四环,医药生物,C
000528,柳    工,机械设备,D
000541,佛山照明,照明设备Ⅱ,D
000545,金浦钛业,钛白粉,A
000551,创元科技,环保,F
000552,甘肃能化,煤炭,A
000553,安道麦A,农化制品,A
000559,万向钱潮,底盘与发动机系统,D
000571,新大洲A,煤炭,A
000582,北部湾港,港口,A
000591,太阳能,公用事业,F
000593,德龙汇能,燃气Ⅱ,F
000598,兴蓉环境,环境治理,F
000600,建投能源,公用事业,F
000601,韶能股份,水力发电,A
000603,盛达资源,贵金属,A
000605,渤海股份,环境治理,F
000637,茂化实华,石油石化,A
000663,永安林业,农林牧渔,F
000672,上峰水泥,水泥制造,A
000677,恒天海龙,基础化工,A
000683,博源化工,纯碱,A
000688,国城矿业,工业金属,A
000690,宝新能源,公用事业,F
000703,恒逸石化,石油石化,A
000708,中信特钢,钢铁,A
000709,河钢股份,板材,A
000710,贝瑞基因,诊断服务,B
000716,黑芝麻,食品饮料,C
000717,中南股份,长材,A
000719,中原传媒,传媒,B
000723,美锦能源,焦炭Ⅱ,A
000726,鲁  泰Ａ,棉纺,D
000729,燕京啤酒,食品饮料,C
000731,四川美丰,氮肥,A
000762,西藏矿业,锂,A
000778,新兴铸管,普钢,A
000789,万年青,水泥制造,A
000791,甘肃能源,水力发电,A
000807,云铝股份,铝,A
000812,陕西金叶,纸包装,D
000825,太钢不锈,钢铁,A
000830,鲁西化工,煤化工,A
000833,粤桂股份,综合Ⅱ,D
000862,银星能源,公用事业,F
000877,天山股份,水泥制造,A
000881,中广核技,基础化工,A
000882,华联股份,百货,C
000883,湖北能源,电能综合服务,F
000887,中鼎股份,汽车,D
000899,赣能股份,公用事业,F
000905,厦门港务,港口,A
000910,大亚圣象,瓷砖地板,D
000912,泸天化,氮肥,A
000913,钱江摩托,摩托车及其他,D
000915,华特达因,医药生物,C
000919,金陵药业,医药生物,C
000920,沃顿科技,基础化工,A
000923,河钢资源,铁矿石,A
000925,众合科技,轨交设备Ⅱ,D
000937,冀中能源,煤炭,A
000955,欣龙控股,纺织服饰,C
000959,首钢股份,板材,A
000960,锡业股份,小金属,A
000968,蓝焰控股,油气开采Ⅲ,A
000969,安泰科技,有色金属,A
000973,佛塑科技,基础化工,A
000975,山金国际,黄金,A
000983,山西焦煤,煤炭,A
000990,诚志股份,煤化工,A
000998,隆平高科,种子,F
001203,大中矿业,铁矿石,A
001205,盛航股份,航运港口,A
001210,金房能源,公用事业,F
001215,千味央厨,食品加工,C
001229,魅视科技,计算机,B
001256,炜冈科技,专用设备,D
001286,陕西能源,公用事业,F
001289,龙源电力,公用事业,F
001318,阳光乳业,食品饮料,C
001319,铭科精技,汽车,D
001325,元创股份,基础化工,A
001337,四川黄金,黄金,A
001338,永顺泰,农产品加工,F
001376,百通能源,公用事业,F
001378,德冠新材,基础化工,A
001696,宗申动力,机械设备,D
001872,招商港口,港口,A
002001,新 和 成,基础化工,A
002003,伟星股份,纺织服饰,C
002004,华邦健康,医药生物,C
002007,华兰生物,疫苗,B
002014,永新股份,塑料包装,D
002026,山东威达,机械设备,D
002027,分众传媒,广告营销,B
002033,丽江股份,社会服务,C
002034,旺能环境,固废治理,F
002039,黔源电力,水力发电,A
002040,南 京 港,港口,A
002043,兔 宝 宝,建筑材料,A
002046,国机精工,机械设备,D
002048,宁波华翔,汽车,D
002053,云南能投,公用事业,F
002056,横店东磁,光伏设备,D
002064,华峰化学,基础化工,A
002066,瑞泰科技,耐火材料,A
002077,大港股份,半导体,B
002078,太阳纸业,造纸,A
002080,中材科技,建筑材料,A
002083,孚日股份,棉纺,D
002085,万丰奥威,轮胎轮毂,D
002092,中泰化学,氯碱,A
002099,海翔药业,原料药,B
002101,广东鸿图,汽车,D
002105,信隆健康,其他运输设备,D
002109,兴化股份,化学原料,A
002117,东港股份,印刷,D
002120,韵达股份,交通运输,F
002126,银轮股份,底盘与发动机系统,D
002128,电投能源,煤炭,A
002129,TCL中环,光伏设备,D
002138,顺络电子,被动元件,D
002154,报 喜 鸟,纺织服饰,C
002155,湖南黄金,黄金,A
002162,悦心健康,瓷砖地板,D
002170,芭田股份,复合肥,A
