代码,名称,行业,性质ID,风险详情,风险点数量
000002,万  科Ａ,房地产开发,E,2021回报过低(ROE:5.7%) | 2022回报过低(ROE:5.6%) | 2023回报过低(ROE:3.0%) | 2024回报过低(ROE:-14.6%) | 2024净资产萎缩(较上年减少),5
000004,*ST国华,计算机,B,2020ROE过低(4.4%) | 2020净现比过低(0.06) | 2021ROE过低(-53.7%) | 2021利润亏损 | 2021应收占比高(33.4%) | 2022ROE过低(-168.8%) | 2022利润亏损 | 2022应收占比高(52.5%) | 2023ROE过低(-81.0%) | 2023利润亏损 | 2023负债率过高(53.1%) | 2023应收占比高(43.9%) | 2024ROE过低(-180.4%) | 2024利润亏损 | 2024负债率过高(76.6%),15
000006,深振业Ａ,房地产开发,E,2022回报过低(ROE:5.0%) | 2023回报过低(ROE:-10.8%) | 2023净资产萎缩(较上年减少) | 2024回报过低(ROE:-27.6%) | 2024净资产萎缩(较上年减少),5
000007,全新好,一般零售,C,2020ROE过低(-181.3%) | 2020利润亏损 | 2020负债率过高(81.4%) | 2021净现比过低(-1.22) | 2021负债率过高(73.6%) | 2021FCF为负(碎钞机) | 2022ROE过低(-5.2%) | 2022利润亏损 | 2022负债率过高(71.2%) | 2023负债率过高(65.3%) | 2024毛利过低(14.8%),11
000008,神州高铁,轨交设备Ⅱ,D,2020ROE过低(-13.4%) | 2020利润亏损 | 2021ROE过低(-26.1%) | 2021利润亏损 | 2022ROE过低(-18.9%) | 2022利润亏损 | 2023ROE过低(-22.7%) | 2023利润亏损 | 2023负债率过高(65.7%) | 2024ROE过低(-17.5%) | 2024利润亏损 | 2024负债率过高(68.8%),12
000009,中国宝安,综合Ⅱ,D,2020ROE过低(5.0%) | 2021ROE过低(6.6%) | 2021净现比过低(-0.27) | 2021FCF为负(碎钞机) | 2022ROE过低(6.1%) | 2022净现比过低(0.25) | 2022FCF为负(碎钞机) | 2023ROE过低(3.6%) | 2024ROE过低(0.8%) | 2024FCF为负(碎钞机),10
000010,美丽生态,基础建设,F,2020ROE过低(4.9%) | 2020净现比过低(-9.06) | 2020负债率过高(77.0%) | 2020应收占比高(54.5%) | 2020FCF为负(碎钞机) | 2021ROE过低(2.7%) | 2021净现比过低(-2.36) | 2021负债率过高(81.3%) | 2021应收占比高(59.2%) | 2021FCF为负(碎钞机) | 2022ROE过低(-59.8%) | 2022利润亏损 | 2022负债率过高(75.3%) | 2022毛利过低(11.5%) | 2022应收占比高(51.3%) | 2023ROE过低(-200.1%) | 2023利润亏损 | 2023负债率过高(92.1%) | 2023毛利过低(9.7%) | 2023应收占比高(50.2%) | 2024ROE过低(5.1%) | 2024负债率过高(88.3%) | 2024毛利过低(11.7%) | 2024应收占比高(56.7%),24
000011,深物业A,房地产开发,E,2022净资产萎缩(较上年减少) | 2024回报过低(ROE:-34.5%) | 2024净资产萎缩(较上年减少),3
000012,南  玻Ａ,玻璃制造,A,2020ROE过低(7.3%) | 2022FCF为负(碎钞机) | 2023FCF为负(碎钞机) | 2024ROE过低(1.9%) | 2024FCF为负(碎钞机),5
000014,沙河股份,房地产开发,E,2020回报过低(ROE:0.5%) | 2021回报过低(ROE:3.6%) | 2024回报过低(ROE:1.0%) | 2024净资产萎缩(较上年减少),4
