代码,名称,性质,PB,内在价值(亿),当前市值(亿),安全边际,估值状态
601658,邮储银行,E,0.52,6588.28,6028.77,8.5%,合理
000897,津滨发展,E,1.13,-0.5,35.74,7218.8%,低估
000513,丽珠集团,C,2.02,335.59,309.7,7.7%,合理
600368,五洲交通,F,0.92,69.89,65.19,6.7%,合理
002966,苏州银行,E,0.6,390.09,367.04,5.9%,合理
002056,横店东磁,D,3.45,655.03,372.03,43.2%,低估
603886,元祖股份,C,2.0,52.73,31.06,41.1%,低估
002958,青农商行,E,0.37,287.88,172.78,40.0%,低估
601318,中国平安,E,0.83,11896.5,11342.63,4.7%,合理
601818,光大银行,E,0.32,3156.06,1943.91,38.4%,低估
000001,平安银行,E,0.41,3346.19,2111.36,36.9%,低估
601997,贵阳银行,E,0.3,329.18,212.06,35.6%,低估
601169,北京银行,E,0.3,1765.17,1148.06,35.0%,低估
603444,吉比特,B,4.38,427.14,280.76,34.3%,低估
603323,苏农银行,E,0.54,152.24,100.52,34.0%,低估
601577,长沙银行,E,0.46,576.17,385.67,33.1%,低估
600064,南京高科,E,0.73,221.41,151.58,31.5%,低估
000429,粤高速Ａ,F,1.88,274.0,263.23,3.9%,合理
600919,江苏银行,E,0.56,2717.0,1926.89,29.1%,低估
601166,兴业银行,E,0.44,5469.93,3955.34,27.7%,低估
600015,华夏银行,E,0.3,1476.82,1107.68,25.0%,低估
002027,分众传媒,B,5.84,1271.31,983.51,22.6%,低估
601128,常熟银行,E,0.74,302.15,239.78,20.6%,低估
600908,无锡银行,E,0.52,160.16,127.73,20.2%,低估
600928,西安银行,E,0.42,168.81,165.33,2.1%,合理
601528,瑞丰银行,E,0.55,133.93,107.53,19.7%,合理
002839,张家港行,E,0.54,137.7,110.97,19.4%,合理
601077,渝农商行,E,0.55,936.75,762.05,18.6%,合理
600926,杭州银行,E,0.74,1423.31,1209.86,15.0%,合理
601916,浙商银行,E,0.41,983.3,837.67,14.8%,合理
601009,南京银行,E,0.63,1591.26,1364.94,14.2%,合理
601156,东航物流,F,1.38,341.06,293.06,14.1%,合理
601838,成都银行,E,0.72,847.38,731.13,13.7%,合理
601083,锦江航运,A,1.7,178.76,155.68,12.9%,合理
002948,青岛银行,E,0.65,353.24,307.9,12.8%,合理
002372,伟星新材,D,3.78,209.57,184.52,12.0%,合理
601229,上海银行,E,0.53,1565.9,1381.12,11.8%,合理
601825,沪农商行,E,0.63,931.27,821.71,11.8%,合理
601998,中信银行,E,0.48,4573.55,4073.23,10.9%,合理
601319,中国人保,E,0.89,4232.79,3790.0,10.5%,合理
601963,重庆银行,E,0.58,425.79,383.25,10.0%,合理
600036,招商银行,E,0.78,10116.95,9951.75,1.6%,合理
600062,华润双鹤,C,1.55,191.37,188.74,1.4%,合理
601860,紫金银行,E,0.5,102.1,101.78,0.3%,合理
600030,中信证券,E,1.21,2015.62,3871.13,-92.1%,高估
601398,工商银行,E,0.6,23166.24,25340.48,-9.4%,合理
600681,百川能源,F,1.6,5.95,58.6,-884.2%,高估
002043,兔 宝 宝,A,4.04,72.58,133.92,-84.5%,高估
600999,招商证券,E,1.04,763.67,1403.62,-83.8%,高估
000848,承德露露,C,2.4,46.89,84.25,-79.7%,高估
301616,浙江华业,D,2.86,4.77,40.95,-759.2%,高估
002001,新 和 成,A,3.64,698.28,1177.74,-68.7%,高估
600901,江苏金租,E,1.45,218.87,368.94,-68.6%,高估
300917,特发服务,E,4.67,7.9,59.78,-657.1%,高估
601688,华泰证券,E,0.88,1087.41,1801.76,-65.7%,高估
601881,中国银河,E,1.01,954.28,1546.12,-62.0%,高估
603102,百合股份,C,1.69,17.6,27.87,-58.3%,高估
601088,中国神华,A,1.95,6139.73,9493.18,-54.6%,高估
600900,长江电力,A,2.86,4337.15,6670.04,-53.8%,高估
601939,建设银行,E,0.65,22334.01,23622.51,-5.8%,合理
603816,顾家家居,C,2.68,269.5,284.8,-5.7%,合理
300341,麦克奥迪,D,4.18,14.55,85.17,-485.4%,高估
300015,爱尔眼科,C,4.03,651.56,959.58,-47.3%,高估
300487,蓝晓科技,A,8.77,76.98,368.36,-378.5%,高估
001376,百通能源,F,8.06,20.39,94.39,-362.9%,高估
001325,元创股份,A,3.27,9.93,44.37,-346.9%,高估
603899,晨光股份,C,2.52,181.05,239.45,-32.3%,高估
300059,东方财富,E,3.82,818.3,3397.87,-315.2%,高估
600285,羚锐制药,C,3.68,91.72,120.97,-31.9%,高估
601811,新华文轩,C,1.1,129.9,169.78,-30.7%,高估
601225,陕西煤业,A,1.79,2374.45,2460.59,-3.6%,合理
002142,宁波银行,E,0.81,1994.18,2057.02,-3.2%,合理
000999,华润三九,C,1.32,381.51,495.1,-29.8%,高估
002275,桂林三金,C,2.53,63.7,82.02,-28.8%,高估
600648,外高桥,E,0.89,4.85,139.8,-2780.0%,高估
600941,中国移动,F,1.53,16487.37,20941.51,-27.0%,高估
002961,瑞达期货,E,4.08,35.15,128.34,-265.2%,高估
300033,同花顺,B,23.2,490.47,1740.75,-254.9%,高估
601126,四方股份,D,8.79,118.21,415.58,-251.6%,高估
300722,新余国科,B,14.06,3.46,89.2,-2477.6%,高估
002968,新大正,E,2.19,9.12,28.9,-216.7%,高估
002803,吉宏股份,C,3.07,26.12,82.6,-216.2%,高估
603300,海南华铁,E,2.18,46.58,145.8,-213.0%,高估
601288,农业银行,E,0.73,19139.54,23203.88,-21.2%,高估
300760,迈瑞医疗,B,4.95,1808.23,2190.52,-21.1%,高估
603257,中国瑞林,F,3.27,3.67,80.32,-2087.5%,高估
002807,江阴银行,E,0.58,110.06,112.73,-2.4%,合理
601328,交通银行,E,0.46,5861.94,5999.9,-2.4%,合理
300962,中金辐照,C,4.79,16.77,49.98,-198.1%,高估
601066,中信建投,E,1.54,604.36,1787.14,-195.7%,高估
603699,纽威股份,D,10.8,388.71,462.69,-19.0%,高估
002154,报 喜 鸟,C,1.22,20.2,56.77,-181.1%,高估
603866,桃李面包,C,1.6,71.12,83.35,-17.2%,高估
601187,厦门银行,E,0.58,164.3,192.39,-17.1%,高估
601988,中国银行,E,0.53,14907.96,17238.36,-15.6%,高估
002003,伟星股份,C,2.55,102.85,118.65,-15.4%,高估
601872,招商轮船,A,3.16,534.06,1311.31,-145.5%,高估
000975,山金国际,A,5.62,380.11,922.7,-142.7%,高估
600007,中国国贸,E,2.12,84.37,201.56,-138.9%,高估
300622,博士眼镜,C,7.99,29.23,68.81,-135.4%,高估
603919,金徽酒,C,2.88,45.75,97.34,-112.8%,高估
600566,济川药业,C,1.79,122.85,247.75,-101.7%,高估
601665,齐鲁银行,E,0.66,346.49,350.15,-1.1%,合理
