代码,名称,性质,PB,内在价值(亿),当前市值(亿),安全边际,估值状态
000429,粤高速Ａ,F,2.0,287.83,263.44,8.5%,合理
002275,桂林三金,C,2.73,89.06,82.08,7.8%,合理
601288,农业银行,E,0.75,25129.56,23203.88,7.7%,合理
600285,羚锐制药,C,3.93,130.41,121.02,7.2%,合理
600015,华夏银行,E,0.3,2421.39,1107.68,54.3%,低估
601997,贵阳银行,E,0.31,451.19,212.43,52.9%,低估
002056,横店东磁,D,3.62,783.56,372.19,52.5%,低估
601169,北京银行,E,0.32,2249.49,1148.06,49.0%,低估
000001,平安银行,E,0.43,3960.64,2111.36,46.7%,低估
601818,光大银行,E,0.33,3619.94,1938.01,46.5%,低估
601577,长沙银行,E,0.48,701.23,384.46,45.2%,低估
603323,苏农银行,E,0.56,175.63,100.52,42.8%,低估
601166,兴业银行,E,0.44,6845.08,3955.34,42.2%,低估
603444,吉比特,B,4.98,292.29,280.62,4.0%,合理
600368,五洲交通,F,0.96,107.28,65.03,39.4%,低估
002154,报 喜 鸟,C,1.26,93.53,56.77,39.3%,低估
002807,江阴银行,E,0.6,183.95,112.73,38.7%,低估
601838,成都银行,E,0.85,1184.98,729.01,38.5%,低估
002027,分众传媒,B,5.67,1588.08,982.07,38.2%,低估
603886,元祖股份,C,1.87,49.89,30.98,37.9%,低估
601225,陕西煤业,A,1.92,3956.44,2464.47,37.7%,低估
601528,瑞丰银行,E,0.56,172.54,107.72,37.6%,低估
601916,浙商银行,E,0.41,1327.14,837.67,36.9%,低估
600908,无锡银行,E,0.55,201.61,127.73,36.6%,低估
601229,上海银行,E,0.54,2101.73,1379.69,34.4%,低估
600566,济川药业,C,1.68,375.58,247.57,34.1%,低估
002839,张家港行,E,0.56,167.88,111.22,33.8%,低估
601811,新华文轩,C,1.13,255.32,169.53,33.6%,低估
601998,中信银行,E,0.5,6070.28,4073.23,32.9%,低估
600919,江苏银行,E,0.61,2862.48,1923.22,32.8%,低估
002372,伟星新材,D,3.52,273.73,184.52,32.6%,低估
601128,常熟银行,E,0.78,347.71,239.45,31.1%,低估
600062,华润双鹤,C,1.7,273.95,188.74,31.1%,低估
002958,青农商行,E,0.42,247.51,172.22,30.4%,低估
603866,桃李面包,C,1.62,119.36,83.19,30.3%,低估
601860,紫金银行,E,0.51,143.13,101.78,28.9%,低估
300760,迈瑞医疗,B,5.37,3081.53,2189.43,28.9%,低估
601328,交通银行,E,0.52,8245.73,5999.9,27.2%,低估
600928,西安银行,E,0.49,224.09,164.44,26.6%,低估
601156,东航物流,F,1.5,396.23,291.32,26.5%,低估
600036,招商银行,E,0.81,13502.27,9946.71,26.3%,低估
601825,沪农商行,E,0.64,1099.66,819.78,25.5%,低估
601077,渝农商行,E,0.57,1020.48,760.92,25.4%,低估
601009,南京银行,E,0.71,1818.59,1362.47,25.1%,低估
000897,津滨发展,E,1.07,46.92,35.58,24.2%,低估
000513,丽珠集团,C,2.08,400.94,310.15,22.6%,低估
601665,齐鲁银行,E,0.72,448.79,348.31,22.4%,低估
601398,工商银行,E,0.64,32614.53,25340.48,22.3%,低估
600926,杭州银行,E,0.89,1548.92,1205.51,22.2%,低估
600941,中国移动,F,1.54,26761.97,20943.68,21.7%,低估
601939,建设银行,E,0.71,30138.45,23622.51,21.6%,低估
601658,邮储银行,E,0.58,7645.39,6028.77,21.1%,低估
601319,中国人保,E,1.03,3892.93,3790.0,2.6%,合理
000999,华润三九,C,1.96,614.82,494.77,19.5%,合理
002948,青岛银行,E,0.68,381.24,307.31,19.4%,合理
000848,承德露露,C,2.46,104.42,84.46,19.1%,合理
603899,晨光股份,C,2.54,295.35,239.45,18.9%,合理
002966,苏州银行,E,0.66,451.79,366.59,18.9%,合理
601988,中国银行,E,0.58,20944.33,17238.36,17.7%,合理
002003,伟星股份,C,2.7,143.9,118.77,17.5%,合理
002142,宁波银行,E,0.88,2462.05,2054.38,16.6%,合理
601187,厦门银行,E,0.59,228.37,192.39,15.8%,合理
601963,重庆银行,E,0.6,450.47,383.25,14.9%,合理
603816,顾家家居,C,2.83,328.52,285.29,13.2%,合理
601083,锦江航运,A,1.79,175.76,155.42,11.6%,合理
600681,百川能源,F,1.53,59.33,58.46,1.5%,合理
600064,南京高科,E,0.76,152.96,151.06,1.2%,合理
002803,吉宏股份,C,3.74,44.08,82.51,-87.2%,高估
601881,中国银河,E,1.1,871.92,1541.75,-76.8%,高估
600007,中国国贸,E,2.09,115.46,202.26,-75.2%,高估
301616,浙江华业,D,4.42,23.62,40.92,-73.2%,高估
300341,麦克奥迪,D,4.4,49.86,85.37,-71.2%,高估
600648,外高桥,E,1.04,82.62,139.53,-68.9%,高估
603699,纽威股份,D,10.48,280.97,462.84,-64.7%,高估
601872,招商轮船,A,3.2,825.62,1308.08,-58.4%,高估
600999,招商证券,E,1.07,913.65,1395.79,-52.8%,高估
601126,四方股份,D,9.07,281.21,415.17,-47.6%,高估
300917,特发服务,E,4.89,10.92,59.71,-446.8%,高估
002001,新 和 成,A,4.04,823.47,1188.18,-44.3%,高估
300015,爱尔眼科,C,4.4,677.34,958.65,-41.5%,高估
300722,新余国科,B,14.07,17.73,89.36,-404.1%,高估
603102,百合股份,C,1.73,19.89,27.8,-39.7%,高估
600901,江苏金租,E,1.49,267.68,366.63,-37.0%,高估
601688,华泰证券,E,0.93,1350.9,1793.64,-32.8%,高估
603257,中国瑞林,F,4.24,19.47,80.3,-312.5%,高估
603919,金徽酒,C,2.94,74.35,97.39,-31.0%,高估
300059,东方财富,E,4.2,873.83,3389.97,-287.9%,高估
300487,蓝晓科技,A,9.43,98.69,370.19,-275.1%,高估
002961,瑞达期货,E,4.38,34.99,128.39,-266.9%,高估
002043,兔 宝 宝,A,4.24,106.17,134.09,-26.3%,高估
300033,同花顺,B,21.82,551.39,1740.05,-215.6%,高估
601088,中国神华,A,1.91,9234.42,9483.24,-2.7%,合理
001376,百通能源,F,8.45,31.7,93.01,-193.4%,高估
600900,长江电力,A,3.0,5606.95,6670.04,-19.0%,高估
601066,中信建投,E,1.67,624.05,1782.49,-185.6%,高估
002968,新大正,E,2.29,10.13,28.85,-184.8%,高估
603300,海南华铁,E,2.31,54.11,145.8,-169.4%,高估
000975,山金国际,A,6.2,368.6,917.98,-149.0%,高估
301680,C固德电材,D,16.2,45.63,105.86,-132.0%,高估
001325,元创股份,A,3.58,19.36,44.12,-128.0%,高估
300622,博士眼镜,C,8.91,30.58,68.7,-124.6%,高估
300962,中金辐照,C,5.04,23.87,49.9,-109.1%,高估
600030,中信证券,E,1.29,1890.3,3862.23,-104.3%,高估
601318,中国平安,E,0.87,11339.9,11349.87,-0.1%,合理
