代码,名称,ROE(%),净利率(%),周转率(次),杠杆倍数
603699,纽威股份,26.01,19.88,0.549,2.38
002027,分众传媒,25.2,44.14,0.404,1.41
600285,羚锐制药,19.83,21.4,0.528,1.75
002043,兔宝宝,18.97,9.96,1.066,1.79
603444,吉比特,18.96,27.07,0.547,1.28
300760,迈瑞医疗,17.11,29.3,0.436,1.34
002001,新和成,16.44,31.97,0.369,1.39
300033,同花顺,16.08,36.99,0.285,1.53
300487,蓝晓科技,15.51,33.71,0.301,1.53
000975,山金国际,14.99,16.4,0.739,1.24
601126,四方股份,14.88,11.48,0.517,2.51
603816,顾家家居,14.46,10.25,0.85,1.66
002056,横店东磁,13.48,8.27,0.685,2.38
300015,爱尔眼科,13.08,17.81,0.488,1.5
601083,锦江航运,12.91,22.89,0.459,1.23
301616,浙江华业,12.65,24.49,0.407,1.27
002003,伟星股份,12.53,16.06,0.524,1.49
002961,瑞达期货,12.26,23.8,0.079,6.49
600900,长江电力,12.1,42.88,0.116,2.44
002275,桂林三金,11.87,26.34,0.34,1.33
600064,南京高科,11.67,101.6,0.06,1.93
000513,丽珠集团,11.41,19.24,0.372,1.6
001376,百通能源,11.3,17.5,0.448,1.44
600062,华润双鹤,11.1,16.29,0.487,1.4
002372,伟星新材,11.06,16.03,0.528,1.31
000429,粤高速A,11.01,45.95,0.139,1.73
601319,中国人保,10.94,8.99,0.268,4.54
000848,承德露露,10.91,19.61,0.415,1.34
601128,常熟银行,10.3,37.09,0.023,12.34
300059,东方财富,10.24,78.5,0.03,4.28
300622,博士眼镜,10.2,8.13,0.812,1.55
603899,晨光股份,9.99,5.47,1.043,1.75
600007,中国国贸,9.91,33.33,0.245,1.21
600926,杭州银行,9.75,55.0,0.013,14.09
601318,中国平安,9.67,15.95,0.061,9.94
600901,江苏金租,9.61,52.73,0.029,6.36
603919,金徽酒,9.59,14.04,0.468,1.46
601156,东航物流,9.44,11.6,0.55,1.48
601838,成都银行,9.32,53.45,0.013,13.61
601225,陕西煤业,9.22,10.77,0.496,1.73
603323,苏农银行,9.14,53.04,0.014,12.12
001325,元创股份,9.01,11.61,0.515,1.51
600036,招商银行,8.92,45.25,0.02,9.92
002142,宁波银行,8.84,40.83,0.015,14.09
600919,江苏银行,8.83,45.52,0.014,14.23
300962,中金辐照,8.61,32.32,0.231,1.16
002948,青岛银行,8.47,36.25,0.014,16.24
603886,元祖股份,8.44,8.47,0.467,2.14
600941,中国移动,8.42,14.52,0.383,1.51
601009,南京银行,8.36,42.92,0.014,13.75
601825,沪农商行,8.12,53.29,0.013,11.97
601088,中国神华,8.03,18.32,0.332,1.32
002803,吉宏股份,8.02,4.28,1.226,1.53
601872,招商轮船,7.95,17.09,0.248,1.88
603300,海南华铁,7.92,11.92,0.168,3.95
002968,新大正,7.88,4.57,1.12,1.54
601577,长沙银行,7.88,33.25,0.016,14.95
601528,瑞丰银行,7.8,45.46,0.015,11.76
002839,张家港行,7.66,42.77,0.017,10.77
601077,渝农商行,7.66,49.38,0.013,11.85
300722,新余国科,7.59,18.42,0.309,1.33
601665,齐鲁银行,7.51,39.94,0.013,14.76
600908,无锡银行,7.49,48.67,0.014,11.34
000001,平安银行,7.4,38.08,0.017,11.13
601963,重庆银行,7.39,41.56,0.011,15.5
600566,济川药业,7.38,26.0,0.238,1.19
002966,苏州银行,7.29,47.24,0.012,12.64
600030,中信证券,7.22,41.49,0.028,6.32
601881,中国银河,7.2,48.21,0.026,5.65
600368,五洲交通,7.18,42.18,0.114,1.49
300917,特发服务,7.1,4.26,1.005,1.66
300341,麦克奥迪,7.07,13.11,0.404,1.34
601939,建设银行,7.04,44.86,0.013,12.41
002958,青农商行,7.03,41.33,0.016,10.81
601166,兴业银行,6.99,39.13,0.015,11.83
601288,农业银行,6.96,40.09,0.011,15.16
601229,上海银行,6.94,43.93,0.012,12.7
002807,江阴银行,6.59,39.9,0.015,10.73
600999,招商证券,6.59,48.63,0.024,5.53
601658,邮储银行,6.57,28.88,0.014,15.96
601398,工商银行,6.44,42.17,0.012,12.59
601998,中信银行,6.34,34.09,0.016,11.75
601811,新华文轩,6.33,12.37,0.316,1.62
000999,华润三九,6.29,10.7,0.389,1.51
601688,华泰证券,6.2,46.93,0.026,4.99
601818,光大银行,6.12,39.27,0.013,11.93
601066,中信建投,6.12,41.0,0.026,5.72
603102,百合股份,5.99,15.34,0.337,1.16
601860,紫金银行,5.89,36.78,0.011,14.0
601187,厦门银行,5.86,45.23,0.01,13.37
603866,桃李面包,5.71,7.36,0.554,1.4
601916,浙商银行,5.64,23.85,0.014,16.39
601997,贵阳银行,5.56,41.49,0.013,10.6
601988,中国银行,5.49,36.17,0.013,11.6
601169,北京银行,5.44,40.83,0.011,12.64
601328,交通银行,5.42,35.06,0.013,12.0
600681,百川能源,5.18,5.13,0.469,2.15
600928,西安银行,5.14,26.44,0.014,13.93
002154,报喜鸟,5.07,6.78,0.503,1.49
600015,华夏银行,4.83,27.72,0.014,12.31
603257,中国瑞林,3.6,7.13,0.232,2.18
600648,外高桥,1.06,3.75,0.097,2.91
000897,津滨发展,0.57,5.92,0.069,1.41
301680,固德电材,,15.72,0.66,
